road_addr,building_x,building_y,entrance_x,entrance_y,floor_coun,building_c,x,y,near_r_x,near_r_y,near_rv_x,near_rv_y,dist_r_rv,reco_x,reco_y,reco_dist_m,reco_method
서울특별시 관악구 대학길 46,"950264.428242","1941202.151758","950263.316749","1941197.099615","2.0","1","950263.316749","1941197.099615","950275.439","1941196.552","950272.404","1941196.328","3.040",,,,
서울특별시 관악구 대학길 47,"950286.410808","1941193.009605","950281.859356","1941188.668508","5.0","1","950281.859356","1941188.668508","950275.097","1941188.974","950275.028","1941187.992","0.980",,,,
서울특별시 관악구 대학길 48,"950264.648766","1941188.317761","950268.267224","1941190.352861","2.0","1","950268.267224","1941190.352861","950275.145","1941190.042","950272.026","1941189.008","3.290",,,,
서울특별시 관악구 대학길 52,"950264.332202","1941154.501595","950269.608639","1941165.781708","3.0","1","950269.608639","1941165.781708","950274.477","1941165.714","950271.887","1941165.768","2.590",,,,
서울특별시 관악구 대학길 53,"950291.288591","1941152.072347","950287.196633","1941155.469341","2.0","1","950287.196633","1941155.469341","950274.337","1941155.647","950274.177","1941157.378","1.740",,,,
서울특별시 관악구 대학길 57,"950284.640989","1941142.383837","950280.465926","1941141.840942","3.0","1","950280.465926","1941141.840942","950274.147","1941141.928","950273.429","1941144.070","2.260",,,,
서울특별시 관악구 대학길 58-3,"950256.154299","1941128.840021","950256.191697","1941130.684529","4.0","1","950256.191697","1941130.684529","950256.759","1941136.802","950256.217","1941134.854","2.020",,,,
서울특별시 관악구 대학길 58-5,"950244.640517","1941127.145746","950248.090708","1941129.940692","4.0","1","950248.090708","1941129.940692","950248.796","1941137.541","950249.982","1941135.557","2.310",,,,
서울특별시 관악구 대학길 58-6,"950241.296332","1941146.582044","950242.079067","1941142.815832","2.0","1","950242.079067","1941142.815832","950241.651","1941138.203","950240.978","1941138.939","1.000",,,,
서울특별시 관악구 대학길 58-7,"950241.152027","1941115.480505","950238.894549","1941118.512544","1.0","2","950238.894549","1941118.512544","950248.936","1941108.853","950241.967","1941136.604","28.610",,,,
서울특별시 관악구 대학길 58-9,"950232.958198","1941130.544843","950231.575494","1941134.430499","4.0","1","950231.575494","1941134.430499","950232.008","1941139.098","950231.597","1941137.997","1.180",,,,
서울특별시 관악구 대학길 59 a동,"950287.105918","1941122.629188","950278.835488","1941130.825827","5.0","2","950287.105918","1941122.629188","950273.777","1941122.930","950273.636","1941122.710","0.260",,,,
서울특별시 관악구 대학길 59 b동,"950303.308255","1941123.955104","950278.835488","1941130.825827","6.0","2","950303.308255","1941123.955104","950312.691","1941123.575","950311.745","1941123.905","1.000",,,,
서울특별시 관악구 대학길 60,"950265.449547","1941125.843151","950267.848927","1941129.452257","5.0","1","950267.848927","1941129.452257","950273.921","1941129.315","950268.670","1941130.786","5.450",,,,
서울특별시 관악구 대학길 61,"950282.391349","1941112.245912","950279.796912","1941113.083959","3.0","1","950279.796912","1941113.083959","950273.558","1941113.225","950273.246","1941113.453","0.390",,,,
서울특별시 관악구 대학길 64,"950258.629326","1941114.983396","950266.316301","1941113.741094","2.0","1","950266.316301","1941113.741094","950267.942","1941109.001","950270.574","1941113.716","5.400",,,,
서울특별시 관악구 대학길 64-4,"950246.333005","1941113.714477","950246.321508","1941111.082927","1.0","1","950246.321508","1941111.082927","950248.936","1941108.853","950269.872","1941108.148","20.950",,,,
서울특별시 관악구 대학길 64-6,"950248.018713","1941103.211947","950250.940145","1941101.133097","1.0","1","950250.940145","1941101.133097","950256.093","1941099.077","950269.150","1941099.166","13.060",,,,
서울특별시 관악구 대학길 64-8,"950245.106515","1941096.584524","950249.77043","1941095.440363","1.0","1","950249.77043","1941095.440363","950254.891","1941094.399","950268.793","1941095.327","13.930",,,,
서울특별시 관악구 대학길 64-10,"950251.159428","1941092.513372","950251.695977","1941092.465252","1.0","2","950251.695977","1941092.465252","950254.403","1941091.997","950268.436","1941091.515","14.040",,,,
서울특별시 관악구 대학길 64-12,"950246.179821","1941089.845218","950251.405472","1941088.95007","1.0","1","950251.405472","1941088.95007","950254.373","1941088.921","950250.291","1941075.316","14.200",,,,
서울특별시 관악구 대학길 65,"950286.418799","1941090.873634","950285.615401","1941096.200302","5.0","1","950285.615401","1941096.200302","950272.905","1941097.148","950271.814","1941097.486","1.140",,,,
서울특별시 관악구 대학길 66,"950263.517488","1941096.541739","950266.307903","1941098.933532","4.0","1","950266.307903","1941098.933532","950273.001","1941098.434","950269.149","1941098.917","3.880",,,,
서울특별시 관악구 대학길 69,"950283.484061","1941079.281075","950277.226311","1941081.063232","2.0","1","950277.226311","1941081.063232","950271.736","1941081.473","950271.048","1941081.100","0.780",,,,
서울특별시 관악구 대학길 70,"950261.588142","1941082.038679","950266.22382","1941083.046763","3.0","1","950266.22382","1941083.046763","950271.822","1941082.629","950268.385","1941083.034","3.460",,,,
